Results,Item 1,Item 2
Awesome Snack,Hot Sauce,Cake Mix
Awesome Snack,Inky Sauce,Cake Mix
Awesome Snack,Dayzee Tear,Cake Mix
Awesome Snack,Fresh Veggie,Cake Mix
Awesome Snack,Smelly Herb,Cake Mix
Berry Snow Bunny,Snow Bunny,Red Apple
Berry Snow Bunny,Snow Bunny,Pink Apple
Berry Snow Bunny,Snow Bunny,Primordial Fruit
Berry Snow Bunny,Peach Juice,Snow Bunny
Berry Snow Bunny,Mango Juice,Snow Bunny
Berry Snow Bunny,Sky Juice,Snow Bunny
Berry Snow Bunny,Mixed Shake,Snow Bunny
Berry Snow Bunny,Gradual Syrup,Snow Bunny
Berry Snow Bunny,Dayzee Syrup,Snow Bunny
Berry Snow Bunny,Sap Syrup,Snow Bunny
Block Meal,Block Block,None
Block Meal,Shroom Shake,Block Block
Block Meal,Long-Last Shake,Block Block
Block Meal,Volt Shroom,Block Block
Block Meal,Super Shroom Shake,Block Block
Block Meal,Life Shroom,Block Block
Block Meal,Ultra Shroom Shake,Block Block
Block Meal,Slimy Shroom,Block Block
Block Meal,Big Egg,Block Block
Block Meal,Fresh Pasta Bunch,Block Block
Block Meal,Power Steak,Block Block
Block Meal,Bone-In Cut,Block Block
Choco Pasta Dish,Mild Cocoa Bean,Fresh Pasta Bunch
Choco Pasta Dish,Standard Chocolate,Fresh Pasta Bunch
Choco Pasta Dish,Sweet Choco-bar,Fresh Pasta Bunch
Choco Pasta Dish,Shroom Choco-bar,Fresh Pasta Bunch
Choco Pasta Dish,Golden Choco-bar,Fresh Pasta Bunch
Choco Pasta Dish,Chocolate Cake,Fresh Pasta Bunch
Choco Pasta Dish,Spaghetti Plate,Standard Chocolate
Choco Pasta Dish,Spaghetti Plate,Sweet Choco-bar
Choco Pasta Dish,Spaghetti Plate,Shroom Choco-bar
Choco Pasta Dish,Spaghetti Plate,Golden Choco-bar
Choco Pasta Dish,Spaghetti Plate,Chocolate Cake
Choco Pasta Dish,Meat Pasta Dish,Mild Cocoa Bean
Choco Pasta Dish,Meat Pasta Dish,Standard Chocolate
Choco Pasta Dish,Meat Pasta Dish,Sweet Choco-bar
